epoch,IoU,auc,binaryCE,dice_coef,dice_loss,loss,pr_auc,precision,recall,val_IoU,val_auc,val_binaryCE,val_dice_coef,val_dice_loss,val_loss,val_pr_auc,val_precision,val_recall,val_weighted_bce,weighted_bce
25,0.5952785611152649,0.9960917830467224,0.011683779768645763,0.6691756248474121,0.3308241665363312,0.28237709403038025,0.8897762298583984,0.8917217254638672,0.9368124008178711,0.5244631171226501,0.9919283390045166,0.013144662603735924,0.598917543888092,0.4010825753211975,0.33347228169441223,0.8603739142417908,0.8500174283981323,0.9412400722503662,0.12836143374443054,0.13703684508800507
26,0.5986177325248718,0.9957522749900818,0.011941442266106606,0.6713610291481018,0.32863885164260864,0.27892667055130005,0.887084424495697,0.8890736103057861,0.9376639723777771,0.5316803455352783,0.9895927309989929,0.019632086157798767,0.6045820713043213,0.39541783928871155,0.33241015672683716,0.8217195272445679,0.8176164627075195,0.9465190768241882,0.14100447297096252,0.12979020178318024
27,0.5959426164627075,0.9950904250144958,0.012382867746055126,0.6697601079940796,0.3302399516105652,0.2803908884525299,0.8819612264633179,0.8825259208679199,0.9379268884658813,0.5469982624053955,0.9890797734260559,0.01281822845339775,0.6155524849891663,0.38444751501083374,0.3337622284889221,0.8703467845916748,0.8751862645149231,0.9361579418182373,0.17940154671669006,0.130844384431839
28,0.59839928150177,0.9955114126205444,0.011673790402710438,0.6696200370788574,0.3303793668746948,0.27864569425582886,0.8901047110557556,0.8921900391578674,0.9378023743629456,0.5472056269645691,0.9869850873947144,0.011878281831741333,0.6166523098945618,0.38334763050079346,0.33928030729293823,0.8784952163696289,0.8915082812309265,0.92512446641922,0.20481058955192566,0.12344425916671753
29,0.6165955066680908,0.9958881139755249,0.010547368787229061,0.6885077953338623,0.3114924430847168,0.26597949862480164,0.8973355293273926,0.9003616571426392,0.9366982579231262,0.5444220900535583,0.9930438995361328,0.01150596234947443,0.6151310801506042,0.3848688006401062,0.3255402147769928,0.8741238117218018,0.8728313446044922,0.9358050227165222,0.14534398913383484,0.12944075465202332
30,0.6219775080680847,0.9963681697845459,0.010199901647865772,0.695066511631012,0.3049333989620209,0.2598714530467987,0.9006151556968689,0.9065375328063965,0.935642421245575,0.5453329086303711,0.9951108694076538,0.012834976427257061,0.6155033707618713,0.38449668884277344,0.3256354331970215,0.8661108016967773,0.8616601228713989,0.9468274116516113,0.14676858484745026,0.12468505650758743
31,0.6147920489311218,0.9966400861740112,0.010620522312819958,0.686743438243866,0.3132559359073639,0.2652123272418976,0.8968828916549683,0.8978052735328674,0.9398658871650696,0.5364211797714233,0.9942127466201782,0.013432764448225498,0.6093709468841553,0.3906289041042328,0.3231239914894104,0.8573946356773376,0.8454999923706055,0.9515157341957092,0.11837261915206909,0.12108150869607925
32,0.6337073445320129,0.9883834719657898,0.0273995790630579,0.7044475674629211,0.29555201530456543,0.2896791696548462,0.8698514699935913,0.8804774880409241,0.9308156967163086,0.7348850965499878,0.9852439165115356,0.019620610401034355,0.8017151951789856,0.1982850283384323,0.24329891800880432,0.861156702041626,0.865559995174408,0.9386878609657288,0.37692204117774963,0.2720601558685303
33,0.6659103035926819,0.9905974268913269,0.08430235087871552,0.7388370633125305,0.2611636817455292,0.24311625957489014,0.879282534122467,0.884093701839447,0.9316912889480591,0.5982869863510132,0.9871070981025696,0.015053581446409225,0.6685673594474792,0.33143267035484314,0.31209954619407654,0.8632523417472839,0.8703778386116028,0.9324986934661865,0.25200581550598145,0.18897469341754913
34,0.6495509147644043,0.9844433665275574,0.11252404749393463,0.7212492823600769,0.2787504494190216,0.2948578894138336,0.8660287261009216,0.8792688846588135,0.9265877604484558,0.7496187090873718,0.9822956323623657,0.036254193633794785,0.8145751357078552,0.1854250580072403,0.30415019392967224,0.821965754032135,0.8302353024482727,0.9361690878868103,0.6582657694816589,0.3431799113750458
35,0.7047985792160034,0.9907106161117554,0.023019153624773026,0.7801521420478821,0.21984852850437164,0.22873160243034363,0.8663889765739441,0.8666552305221558,0.9379807710647583,0.7468979954719543,0.9856289625167847,0.040760282427072525,0.8168700933456421,0.18312972784042358,0.22251561284065247,0.8571155667304993,0.8545793294906616,0.940151572227478,0.3393535315990448,0.2553812265396118
36,0.7172228693962097,0.9908061623573303,0.03396444395184517,0.7865158915519714,0.2134842872619629,0.24003800749778748,0.8837181329727173,0.8895680904388428,0.9346760511398315,0.5918144583702087,0.9854239821434021,0.021932292729616165,0.6636571884155273,0.33634260296821594,0.3345741629600525,0.8130780458450317,0.8209688663482666,0.9285719394683838,0.32692649960517883,0.3196982443332672
37,0.6507550477981567,0.993834912776947,0.01462237536907196,0.7244205474853516,0.27557915449142456,0.24913239479064941,0.882756769657135,0.880037248134613,0.9362115263938904,0.6212383508682251,0.9894335269927979,0.017489245161414146,0.6951956748962402,0.3048045337200165,0.2793748676776886,0.858495831489563,0.8448641896247864,0.9423916935920715,0.20125968754291534,0.16979236900806427
38,0.6922242045402527,0.9902194738388062,0.05692024156451225,0.765777051448822,0.23422367870807648,0.2344406694173813,0.876697838306427,0.880203127861023,0.9322437047958374,0.7038402557373047,0.9883908629417419,0.016044532880187035,0.7768763303756714,0.22312362492084503,0.2343239188194275,0.8651185631752014,0.8579931259155273,0.935017466545105,0.26652124524116516,0.2350914031267166
